geo,timeQuarter,clusterId,clusterLabel
AT,2021Q2,0,"BroadAboveEU (CP10, CP11)"
BE,2021Q2,1,"BroadBelowEU (CP02, CP01)"
BG,2021Q2,0,"BroadAboveEU (CP10, CP11)"
CH,2021Q2,1,"BroadBelowEU (CP02, CP01)"
CY,2021Q2,1,"BroadBelowEU (CP02, CP01)"
CZ,2021Q2,0,"BroadAboveEU (CP10, CP11)"
DE,2021Q2,1,"BroadBelowEU (CP02, CP01)"
DK,2021Q2,0,"BroadAboveEU (CP10, CP11)"
EA20,2021Q2,1,"BroadBelowEU (CP02, CP01)"
EE,2021Q2,0,"BroadAboveEU (CP10, CP11)"
EL,2021Q2,1,"BroadBelowEU (CP02, CP01)"
ES,2021Q2,1,"BroadBelowEU (CP02, CP01)"
FI,2021Q2,1,"BroadBelowEU (CP02, CP01)"
FR,2021Q2,1,"BroadBelowEU (CP02, CP01)"
HR,2021Q2,1,"BroadBelowEU (CP02, CP01)"
HU,2021Q2,0,"BroadAboveEU (CP10, CP11)"
IE,2021Q2,1,"BroadBelowEU (CP02, CP01)"
IS,2021Q2,0,"BroadAboveEU (CP10, CP11)"
IT,2021Q2,1,"BroadBelowEU (CP02, CP01)"
LT,2021Q2,0,"BroadAboveEU (CP10, CP11)"
LU,2021Q2,1,"BroadBelowEU (CP02, CP01)"
LV,2021Q2,1,"BroadBelowEU (CP02, CP01)"
MT,2021Q2,0,"BroadAboveEU (CP10, CP11)"
NL,2021Q2,0,"BroadAboveEU (CP10, CP11)"
NO,2021Q2,1,"BroadBelowEU (CP02, CP01)"
PL,2021Q2,0,"BroadAboveEU (CP10, CP11)"
PT,2021Q2,1,"BroadBelowEU (CP02, CP01)"
RO,2021Q2,0,"BroadAboveEU (CP10, CP11)"
RS,2021Q2,0,"BroadAboveEU (CP10, CP11)"
SE,2021Q2,1,"BroadBelowEU (CP02, CP01)"
SI,2021Q2,1,"BroadBelowEU (CP02, CP01)"
SK,2021Q2,0,"BroadAboveEU (CP10, CP11)"
AT,2021Q3,0,"BroadAboveEU (CP10, CP11)"
BE,2021Q3,1,"BroadBelowEU (CP02, CP01)"
BG,2021Q3,0,"BroadAboveEU (CP10, CP11)"
CH,2021Q3,1,"BroadBelowEU (CP02, CP01)"
CY,2021Q3,1,"BroadBelowEU (CP02, CP01)"
CZ,2021Q3,0,"BroadAboveEU (CP10, CP11)"
DE,2021Q3,0,"BroadAboveEU (CP10, CP11)"
DK,2021Q3,1,"BroadBelowEU (CP02, CP01)"
EA20,2021Q3,1,"BroadBelowEU (CP02, CP01)"
EE,2021Q3,0,"BroadAboveEU (CP10, CP11)"
EL,2021Q3,1,"BroadBelowEU (CP02, CP01)"
ES,2021Q3,1,"BroadBelowEU (CP02, CP01)"
FI,2021Q3,1,"BroadBelowEU (CP02, CP01)"
FR,2021Q3,1,"BroadBelowEU (CP02, CP01)"
HR,2021Q3,1,"BroadBelowEU (CP02, CP01)"
HU,2021Q3,0,"BroadAboveEU (CP10, CP11)"
IE,2021Q3,1,"BroadBelowEU (CP02, CP01)"
IS,2021Q3,0,"BroadAboveEU (CP10, CP11)"
IT,2021Q3,1,"BroadBelowEU (CP02, CP01)"
LT,2021Q3,0,"BroadAboveEU (CP10, CP11)"
LU,2021Q3,1,"BroadBelowEU (CP02, CP01)"
LV,2021Q3,0,"BroadAboveEU (CP10, CP11)"
MT,2021Q3,0,"BroadAboveEU (CP10, CP11)"
NL,2021Q3,1,"BroadBelowEU (CP02, CP01)"
NO,2021Q3,1,"BroadBelowEU (CP02, CP01)"
PL,2021Q3,0,"BroadAboveEU (CP10, CP11)"
PT,2021Q3,1,"BroadBelowEU (CP02, CP01)"
RO,2021Q3,0,"BroadAboveEU (CP10, CP11)"
RS,2021Q3,0,"BroadAboveEU (CP10, CP11)"
SE,2021Q3,1,"BroadBelowEU (CP02, CP01)"
SI,2021Q3,1,"BroadBelowEU (CP02, CP01)"
SK,2021Q3,0,"BroadAboveEU (CP10, CP11)"
AT,2021Q4,1,"BroadBelowEU (CP02, CP01)"
BE,2021Q4,1,"BroadBelowEU (CP02, CP01)"
BG,2021Q4,0,"BroadAboveEU (CP10, CP11)"
CH,2021Q4,1,"BroadBelowEU (CP02, CP01)"
CY,2021Q4,1,"BroadBelowEU (CP02, CP01)"
CZ,2021Q4,0,"BroadAboveEU (CP10, CP11)"
DE,2021Q4,0,"BroadAboveEU (CP10, CP11)"
DK,2021Q4,1,"BroadBelowEU (CP02, CP01)"
EA20,2021Q4,1,"BroadBelowEU (CP02, CP01)"
EE,2021Q4,0,"BroadAboveEU (CP10, CP11)"
EL,2021Q4,1,"BroadBelowEU (CP02, CP01)"
ES,2021Q4,1,"BroadBelowEU (CP02, CP01)"
FI,2021Q4,1,"BroadBelowEU (CP02, CP01)"
FR,2021Q4,1,"BroadBelowEU (CP02, CP01)"
HR,2021Q4,1,"BroadBelowEU (CP02, CP01)"
HU,2021Q4,0,"BroadAboveEU (CP10, CP11)"
IE,2021Q4,1,"BroadBelowEU (CP02, CP01)"
IS,2021Q4,1,"BroadBelowEU (CP02, CP01)"
IT,2021Q4,1,"BroadBelowEU (CP02, CP01)"
LT,2021Q4,2,"BroadAboveEU (CP04, CP11)"
LU,2021Q4,1,"BroadBelowEU (CP02, CP01)"
LV,2021Q4,0,"BroadAboveEU (CP10, CP11)"
MT,2021Q4,1,"BroadBelowEU (CP02, CP01)"
NL,2021Q4,1,"BroadBelowEU (CP02, CP01)"
NO,2021Q4,1,"BroadBelowEU (CP02, CP01)"
PL,2021Q4,0,"BroadAboveEU (CP10, CP11)"
PT,2021Q4,1,"BroadBelowEU (CP02, CP01)"
RO,2021Q4,0,"BroadAboveEU (CP10, CP11)"
RS,2021Q4,0,"BroadAboveEU (CP10, CP11)"
SE,2021Q4,1,"BroadBelowEU (CP02, CP01)"
SI,2021Q4,1,"BroadBelowEU (CP02, CP01)"
SK,2021Q4,0,"BroadAboveEU (CP10, CP11)"
AT,2022Q1,1,"BroadBelowEU (CP02, CP01)"
BE,2022Q1,0,"BroadAboveEU (CP10, CP11)"
BG,2022Q1,0,"BroadAboveEU (CP10, CP11)"
CH,2022Q1,1,"BroadBelowEU (CP02, CP01)"
CY,2022Q1,1,"BroadBelowEU (CP02, CP01)"
CZ,2022Q1,2,"BroadAboveEU (CP04, CP11)"
DE,2022Q1,1,"BroadBelowEU (CP02, CP01)"
DK,2022Q1,1,"BroadBelowEU (CP02, CP01)"
EA20,2022Q1,1,"BroadBelowEU (CP02, CP01)"
EE,2022Q1,2,"BroadAboveEU (CP04, CP11)"
EL,2022Q1,1,"BroadBelowEU (CP02, CP01)"
ES,2022Q1,1,"BroadBelowEU (CP02, CP01)"
FI,2022Q1,1,"BroadBelowEU (CP02, CP01)"
FR,2022Q1,1,"BroadBelowEU (CP02, CP01)"
HR,2022Q1,0,"BroadAboveEU (CP10, CP11)"
HU,2022Q1,0,"BroadAboveEU (CP10, CP11)"
IE,2022Q1,1,"BroadBelowEU (CP02, CP01)"
IS,2022Q1,1,"BroadBelowEU (CP02, CP01)"
IT,2022Q1,1,"BroadBelowEU (CP02, CP01)"
LT,2022Q1,2,"BroadAboveEU (CP04, CP11)"
LU,2022Q1,1,"BroadBelowEU (CP02, CP01)"
LV,2022Q1,0,"BroadAboveEU (CP10, CP11)"
MT,2022Q1,1,"BroadBelowEU (CP02, CP01)"
NL,2022Q1,1,"BroadBelowEU (CP02, CP01)"
NO,2022Q1,1,"BroadBelowEU (CP02, CP01)"
PL,2022Q1,0,"BroadAboveEU (CP10, CP11)"
PT,2022Q1,1,"BroadBelowEU (CP02, CP01)"
RO,2022Q1,0,"BroadAboveEU (CP10, CP11)"
RS,2022Q1,0,"BroadAboveEU (CP10, CP11)"
SE,2022Q1,1,"BroadBelowEU (CP02, CP01)"
SI,2022Q1,0,"BroadAboveEU (CP10, CP11)"
SK,2022Q1,0,"BroadAboveEU (CP10, CP11)"
AT,2022Q2,1,"BroadBelowEU (CP02, CP01)"
BE,2022Q2,1,"BroadBelowEU (CP02, CP01)"
BG,2022Q2,2,"BroadAboveEU (CP04, CP11)"
CH,2022Q2,1,"BroadBelowEU (CP02, CP01)"
CY,2022Q2,1,"BroadBelowEU (CP02, CP01)"
CZ,2022Q2,2,"BroadAboveEU (CP04, CP11)"
DE,2022Q2,1,"BroadBelowEU (CP02, CP01)"
DK,2022Q2,1,"BroadBelowEU (CP02, CP01)"
EA20,2022Q2,1,"BroadBelowEU (CP02, CP01)"
EE,2022Q2,2,"BroadAboveEU (CP04, CP11)"
EL,2022Q2,1,"BroadBelowEU (CP02, CP01)"
ES,2022Q2,1,"BroadBelowEU (CP02, CP01)"
FI,2022Q2,1,"BroadBelowEU (CP02, CP01)"
FR,2022Q2,1,"BroadBelowEU (CP02, CP01)"
HR,2022Q2,0,"BroadAboveEU (CP10, CP11)"
HU,2022Q2,2,"BroadAboveEU (CP04, CP11)"
IE,2022Q2,1,"BroadBelowEU (CP02, CP01)"
IS,2022Q2,1,"BroadBelowEU (CP02, CP01)"
IT,2022Q2,1,"BroadBelowEU (CP02, CP01)"
LT,2022Q2,2,"BroadAboveEU (CP04, CP11)"
LU,2022Q2,0,"BroadAboveEU (CP10, CP11)"
LV,2022Q2,2,"BroadAboveEU (CP04, CP11)"
MT,2022Q2,1,"BroadBelowEU (CP02, CP01)"
NL,2022Q2,1,"BroadBelowEU (CP02, CP01)"
NO,2022Q2,1,"BroadBelowEU (CP02, CP01)"
PL,2022Q2,2,"BroadAboveEU (CP04, CP11)"
PT,2022Q2,1,"BroadBelowEU (CP02, CP01)"
RO,2022Q2,0,"BroadAboveEU (CP10, CP11)"
RS,2022Q2,0,"BroadAboveEU (CP10, CP11)"
SE,2022Q2,0,"BroadAboveEU (CP10, CP11)"
SI,2022Q2,0,"BroadAboveEU (CP10, CP11)"
SK,2022Q2,2,"BroadAboveEU (CP04, CP11)"
AT,2022Q3,1,"BroadBelowEU (CP02, CP01)"
BE,2022Q3,1,"BroadBelowEU (CP02, CP01)"
BG,2022Q3,2,"BroadAboveEU (CP04, CP11)"
CH,2022Q3,1,"BroadBelowEU (CP02, CP01)"
CY,2022Q3,1,"BroadBelowEU (CP02, CP01)"
CZ,2022Q3,2,"BroadAboveEU (CP04, CP11)"
DE,2022Q3,1,"BroadBelowEU (CP02, CP01)"
DK,2022Q3,0,"BroadAboveEU (CP10, CP11)"
EA20,2022Q3,1,"BroadBelowEU (CP02, CP01)"
EE,2022Q3,2,"BroadAboveEU (CP04, CP11)"
EL,2022Q3,1,"BroadBelowEU (CP02, CP01)"
ES,2022Q3,1,"BroadBelowEU (CP02, CP01)"
FI,2022Q3,1,"BroadBelowEU (CP02, CP01)"
FR,2022Q3,1,"BroadBelowEU (CP02, CP01)"
HR,2022Q3,2,"BroadAboveEU (CP04, CP11)"
HU,2022Q3,2,"BroadAboveEU (CP04, CP11)"
IE,2022Q3,1,"BroadBelowEU (CP02, CP01)"
IS,2022Q3,1,"BroadBelowEU (CP02, CP01)"
IT,2022Q3,1,"BroadBelowEU (CP02, CP01)"
LT,2022Q3,2,"BroadAboveEU (CP04, CP11)"
LU,2022Q3,1,"BroadBelowEU (CP02, CP01)"
LV,2022Q3,2,"BroadAboveEU (CP04, CP11)"
MT,2022Q3,1,"BroadBelowEU (CP02, CP01)"
NL,2022Q3,1,"BroadBelowEU (CP02, CP01)"
NO,2022Q3,1,"BroadBelowEU (CP02, CP01)"
PL,2022Q3,2,"BroadAboveEU (CP04, CP11)"
PT,2022Q3,1,"BroadBelowEU (CP02, CP01)"
RO,2022Q3,0,"BroadAboveEU (CP10, CP11)"
RS,2022Q3,0,"BroadAboveEU (CP10, CP11)"
SE,2022Q3,0,"BroadAboveEU (CP10, CP11)"
SI,2022Q3,0,"BroadAboveEU (CP10, CP11)"
SK,2022Q3,2,"BroadAboveEU (CP04, CP11)"
AT,2022Q4,1,"BroadBelowEU (CP02, CP01)"
BE,2022Q4,1,"BroadBelowEU (CP02, CP01)"
BG,2022Q4,2,"BroadAboveEU (CP04, CP11)"
CH,2022Q4,1,"BroadBelowEU (CP02, CP01)"
CY,2022Q4,1,"BroadBelowEU (CP02, CP01)"
CZ,2022Q4,2,"BroadAboveEU (CP04, CP11)"
DE,2022Q4,1,"BroadBelowEU (CP02, CP01)"
DK,2022Q4,1,"BroadBelowEU (CP02, CP01)"
EA20,2022Q4,1,"BroadBelowEU (CP02, CP01)"
EE,2022Q4,2,"BroadAboveEU (CP04, CP11)"
EL,2022Q4,1,"BroadBelowEU (CP02, CP01)"
ES,2022Q4,1,"BroadBelowEU (CP02, CP01)"
FI,2022Q4,1,"BroadBelowEU (CP02, CP01)"
FR,2022Q4,1,"BroadBelowEU (CP02, CP01)"
HR,2022Q4,0,"BroadAboveEU (CP10, CP11)"
HU,2022Q4,2,"BroadAboveEU (CP04, CP11)"
IE,2022Q4,1,"BroadBelowEU (CP02, CP01)"
IS,2022Q4,1,"BroadBelowEU (CP02, CP01)"
IT,2022Q4,1,"BroadBelowEU (CP02, CP01)"
LT,2022Q4,2,"BroadAboveEU (CP04, CP11)"
LU,2022Q4,1,"BroadBelowEU (CP02, CP01)"
LV,2022Q4,2,"BroadAboveEU (CP04, CP11)"
MT,2022Q4,1,"BroadBelowEU (CP02, CP01)"
NL,2022Q4,0,"BroadAboveEU (CP10, CP11)"
NO,2022Q4,1,"BroadBelowEU (CP02, CP01)"
PL,2022Q4,2,"BroadAboveEU (CP04, CP11)"
PT,2022Q4,1,"BroadBelowEU (CP02, CP01)"
RO,2022Q4,0,"BroadAboveEU (CP10, CP11)"
RS,2022Q4,2,"BroadAboveEU (CP04, CP11)"
SE,2022Q4,1,"BroadBelowEU (CP02, CP01)"
SI,2022Q4,0,"BroadAboveEU (CP10, CP11)"
SK,2022Q4,2,"BroadAboveEU (CP04, CP11)"
AT,2023Q1,1,"BroadBelowEU (CP02, CP01)"
BE,2023Q1,1,"BroadBelowEU (CP02, CP01)"
BG,2023Q1,2,"BroadAboveEU (CP04, CP11)"
CH,2023Q1,1,"BroadBelowEU (CP02, CP01)"
CY,2023Q1,1,"BroadBelowEU (CP02, CP01)"
CZ,2023Q1,2,"BroadAboveEU (CP04, CP11)"
DE,2023Q1,1,"BroadBelowEU (CP02, CP01)"
DK,2023Q1,1,"BroadBelowEU (CP02, CP01)"
EA20,2023Q1,1,"BroadBelowEU (CP02, CP01)"
EE,2023Q1,2,"BroadAboveEU (CP04, CP11)"
EL,2023Q1,1,"BroadBelowEU (CP02, CP01)"
ES,2023Q1,1,"BroadBelowEU (CP02, CP01)"
FI,2023Q1,1,"BroadBelowEU (CP02, CP01)"
FR,2023Q1,1,"BroadBelowEU (CP02, CP01)"
HR,2023Q1,0,"BroadAboveEU (CP10, CP11)"
