geo,timeQuarter,clusterId,clusterLabel
HU,2023Q1,2,"BroadAboveEU (CP04, CP11)"
IE,2023Q1,1,"BroadBelowEU (CP02, CP01)"
IS,2023Q1,1,"BroadBelowEU (CP02, CP01)"
IT,2023Q1,1,"BroadBelowEU (CP02, CP01)"
LT,2023Q1,2,"BroadAboveEU (CP04, CP11)"
LU,2023Q1,1,"BroadBelowEU (CP02, CP01)"
LV,2023Q1,2,"BroadAboveEU (CP04, CP11)"
MT,2023Q1,1,"BroadBelowEU (CP02, CP01)"
NL,2023Q1,0,"BroadAboveEU (CP10, CP11)"
NO,2023Q1,1,"BroadBelowEU (CP02, CP01)"
PL,2023Q1,2,"BroadAboveEU (CP04, CP11)"
PT,2023Q1,1,"BroadBelowEU (CP02, CP01)"
RO,2023Q1,0,"BroadAboveEU (CP10, CP11)"
RS,2023Q1,2,"BroadAboveEU (CP04, CP11)"
SE,2023Q1,0,"BroadAboveEU (CP10, CP11)"
SI,2023Q1,0,"BroadAboveEU (CP10, CP11)"
SK,2023Q1,2,"BroadAboveEU (CP04, CP11)"
AT,2023Q2,0,"BroadAboveEU (CP10, CP11)"
BE,2023Q2,1,"BroadBelowEU (CP02, CP01)"
BG,2023Q2,0,"BroadAboveEU (CP10, CP11)"
CH,2023Q2,1,"BroadBelowEU (CP02, CP01)"
CY,2023Q2,1,"BroadBelowEU (CP02, CP01)"
CZ,2023Q2,2,"BroadAboveEU (CP04, CP11)"
DE,2023Q2,1,"BroadBelowEU (CP02, CP01)"
DK,2023Q2,1,"BroadBelowEU (CP02, CP01)"
EA20,2023Q2,1,"BroadBelowEU (CP02, CP01)"
EE,2023Q2,2,"BroadAboveEU (CP04, CP11)"
EL,2023Q2,1,"BroadBelowEU (CP02, CP01)"
ES,2023Q2,1,"BroadBelowEU (CP02, CP01)"
FI,2023Q2,1,"BroadBelowEU (CP02, CP01)"
FR,2023Q2,1,"BroadBelowEU (CP02, CP01)"
HR,2023Q2,0,"BroadAboveEU (CP10, CP11)"
HU,2023Q2,2,"BroadAboveEU (CP04, CP11)"
IE,2023Q2,1,"BroadBelowEU (CP02, CP01)"
IS,2023Q2,1,"BroadBelowEU (CP02, CP01)"
IT,2023Q2,1,"BroadBelowEU (CP02, CP01)"
LT,2023Q2,2,"BroadAboveEU (CP04, CP11)"
LU,2023Q2,1,"BroadBelowEU (CP02, CP01)"
LV,2023Q2,2,"BroadAboveEU (CP04, CP11)"
MT,2023Q2,1,"BroadBelowEU (CP02, CP01)"
NL,2023Q2,0,"BroadAboveEU (CP10, CP11)"
NO,2023Q2,1,"BroadBelowEU (CP02, CP01)"
PL,2023Q2,2,"BroadAboveEU (CP04, CP11)"
PT,2023Q2,1,"BroadBelowEU (CP02, CP01)"
RO,2023Q2,0,"BroadAboveEU (CP10, CP11)"
RS,2023Q2,2,"BroadAboveEU (CP04, CP11)"
SE,2023Q2,1,"BroadBelowEU (CP02, CP01)"
SI,2023Q2,0,"BroadAboveEU (CP10, CP11)"
SK,2023Q2,2,"BroadAboveEU (CP04, CP11)"
AT,2023Q3,0,"BroadAboveEU (CP10, CP11)"
BE,2023Q3,1,"BroadBelowEU (CP02, CP01)"
BG,2023Q3,0,"BroadAboveEU (CP10, CP11)"
CH,2023Q3,1,"BroadBelowEU (CP02, CP01)"
CY,2023Q3,1,"BroadBelowEU (CP02, CP01)"
CZ,2023Q3,0,"BroadAboveEU (CP10, CP11)"
DE,2023Q3,1,"BroadBelowEU (CP02, CP01)"
DK,2023Q3,1,"BroadBelowEU (CP02, CP01)"
EA20,2023Q3,1,"BroadBelowEU (CP02, CP01)"
EE,2023Q3,0,"BroadAboveEU (CP10, CP11)"
EL,2023Q3,1,"BroadBelowEU (CP02, CP01)"
ES,2023Q3,1,"BroadBelowEU (CP02, CP01)"
FI,2023Q3,1,"BroadBelowEU (CP02, CP01)"
FR,2023Q3,1,"BroadBelowEU (CP02, CP01)"
HR,2023Q3,0,"BroadAboveEU (CP10, CP11)"
HU,2023Q3,2,"BroadAboveEU (CP04, CP11)"
IE,2023Q3,1,"BroadBelowEU (CP02, CP01)"
IS,2023Q3,0,"BroadAboveEU (CP10, CP11)"
IT,2023Q3,1,"BroadBelowEU (CP02, CP01)"
LT,2023Q3,0,"BroadAboveEU (CP10, CP11)"
LU,2023Q3,1,"BroadBelowEU (CP02, CP01)"
LV,2023Q3,0,"BroadAboveEU (CP10, CP11)"
MT,2023Q3,1,"BroadBelowEU (CP02, CP01)"
NL,2023Q3,0,"BroadAboveEU (CP10, CP11)"
NO,2023Q3,1,"BroadBelowEU (CP02, CP01)"
PL,2023Q3,0,"BroadAboveEU (CP10, CP11)"
PT,2023Q3,1,"BroadBelowEU (CP02, CP01)"
RO,2023Q3,2,"BroadAboveEU (CP04, CP11)"
RS,2023Q3,2,"BroadAboveEU (CP04, CP11)"
SE,2023Q3,1,"BroadBelowEU (CP02, CP01)"
SI,2023Q3,0,"BroadAboveEU (CP10, CP11)"
SK,2023Q3,0,"BroadAboveEU (CP10, CP11)"
AT,2023Q4,0,"BroadAboveEU (CP10, CP11)"
BE,2023Q4,0,"BroadAboveEU (CP10, CP11)"
BG,2023Q4,0,"BroadAboveEU (CP10, CP11)"
CH,2023Q4,1,"BroadBelowEU (CP02, CP01)"
CY,2023Q4,1,"BroadBelowEU (CP02, CP01)"
CZ,2023Q4,0,"BroadAboveEU (CP10, CP11)"
DE,2023Q4,1,"BroadBelowEU (CP02, CP01)"
DK,2023Q4,1,"BroadBelowEU (CP02, CP01)"
EA20,2023Q4,1,"BroadBelowEU (CP02, CP01)"
EE,2023Q4,0,"BroadAboveEU (CP10, CP11)"
EL,2023Q4,1,"BroadBelowEU (CP02, CP01)"
ES,2023Q4,1,"BroadBelowEU (CP02, CP01)"
FI,2023Q4,1,"BroadBelowEU (CP02, CP01)"
FR,2023Q4,1,"BroadBelowEU (CP02, CP01)"
HR,2023Q4,0,"BroadAboveEU (CP10, CP11)"
HU,2023Q4,2,"BroadAboveEU (CP04, CP11)"
IE,2023Q4,1,"BroadBelowEU (CP02, CP01)"
IS,2023Q4,0,"BroadAboveEU (CP10, CP11)"
IT,2023Q4,1,"BroadBelowEU (CP02, CP01)"
LT,2023Q4,0,"BroadAboveEU (CP10, CP11)"
LU,2023Q4,1,"BroadBelowEU (CP02, CP01)"
LV,2023Q4,0,"BroadAboveEU (CP10, CP11)"
MT,2023Q4,1,"BroadBelowEU (CP02, CP01)"
NL,2023Q4,0,"BroadAboveEU (CP10, CP11)"
NO,2023Q4,0,"BroadAboveEU (CP10, CP11)"
PL,2023Q4,0,"BroadAboveEU (CP10, CP11)"
PT,2023Q4,1,"BroadBelowEU (CP02, CP01)"
RO,2023Q4,2,"BroadAboveEU (CP04, CP11)"
RS,2023Q4,2,"BroadAboveEU (CP04, CP11)"
SE,2023Q4,1,"BroadBelowEU (CP02, CP01)"
SI,2023Q4,0,"BroadAboveEU (CP10, CP11)"
SK,2023Q4,0,"BroadAboveEU (CP10, CP11)"
AT,2024Q1,0,"BroadAboveEU (CP10, CP11)"
BE,2024Q1,0,"BroadAboveEU (CP10, CP11)"
BG,2024Q1,0,"BroadAboveEU (CP10, CP11)"
CH,2024Q1,1,"BroadBelowEU (CP02, CP01)"
CY,2024Q1,1,"BroadBelowEU (CP02, CP01)"
CZ,2024Q1,1,"BroadBelowEU (CP02, CP01)"
DE,2024Q1,1,"BroadBelowEU (CP02, CP01)"
DK,2024Q1,1,"BroadBelowEU (CP02, CP01)"
EA20,2024Q1,1,"BroadBelowEU (CP02, CP01)"
EE,2024Q1,0,"BroadAboveEU (CP10, CP11)"
EL,2024Q1,1,"BroadBelowEU (CP02, CP01)"
ES,2024Q1,1,"BroadBelowEU (CP02, CP01)"
FI,2024Q1,1,"BroadBelowEU (CP02, CP01)"
FR,2024Q1,1,"BroadBelowEU (CP02, CP01)"
HR,2024Q1,0,"BroadAboveEU (CP10, CP11)"
HU,2024Q1,0,"BroadAboveEU (CP10, CP11)"
IE,2024Q1,1,"BroadBelowEU (CP02, CP01)"
IS,2024Q1,0,"BroadAboveEU (CP10, CP11)"
IT,2024Q1,1,"BroadBelowEU (CP02, CP01)"
LT,2024Q1,0,"BroadAboveEU (CP10, CP11)"
LU,2024Q1,1,"BroadBelowEU (CP02, CP01)"
LV,2024Q1,0,"BroadAboveEU (CP10, CP11)"
MT,2024Q1,1,"BroadBelowEU (CP02, CP01)"
NL,2024Q1,0,"BroadAboveEU (CP10, CP11)"
NO,2024Q1,0,"BroadAboveEU (CP10, CP11)"
PL,2024Q1,0,"BroadAboveEU (CP10, CP11)"
PT,2024Q1,1,"BroadBelowEU (CP02, CP01)"
RO,2024Q1,2,"BroadAboveEU (CP04, CP11)"
RS,2024Q1,0,"BroadAboveEU (CP10, CP11)"
SE,2024Q1,1,"BroadBelowEU (CP02, CP01)"
SI,2024Q1,0,"BroadAboveEU (CP10, CP11)"
SK,2024Q1,0,"BroadAboveEU (CP10, CP11)"
AT,2024Q2,1,"BroadBelowEU (CP02, CP01)"
BE,2024Q2,0,"BroadAboveEU (CP10, CP11)"
BG,2024Q2,1,"BroadBelowEU (CP02, CP01)"
CH,2024Q2,1,"BroadBelowEU (CP02, CP01)"
CY,2024Q2,1,"BroadBelowEU (CP02, CP01)"
CZ,2024Q2,1,"BroadBelowEU (CP02, CP01)"
DE,2024Q2,1,"BroadBelowEU (CP02, CP01)"
DK,2024Q2,1,"BroadBelowEU (CP02, CP01)"
EA20,2024Q2,1,"BroadBelowEU (CP02, CP01)"
EE,2024Q2,0,"BroadAboveEU (CP10, CP11)"
EL,2024Q2,1,"BroadBelowEU (CP02, CP01)"
ES,2024Q2,1,"BroadBelowEU (CP02, CP01)"
FI,2024Q2,1,"BroadBelowEU (CP02, CP01)"
FR,2024Q2,1,"BroadBelowEU (CP02, CP01)"
HR,2024Q2,0,"BroadAboveEU (CP10, CP11)"
HU,2024Q2,0,"BroadAboveEU (CP10, CP11)"
IE,2024Q2,1,"BroadBelowEU (CP02, CP01)"
IS,2024Q2,0,"BroadAboveEU (CP10, CP11)"
IT,2024Q2,1,"BroadBelowEU (CP02, CP01)"
LT,2024Q2,0,"BroadAboveEU (CP10, CP11)"
LU,2024Q2,1,"BroadBelowEU (CP02, CP01)"
LV,2024Q2,0,"BroadAboveEU (CP10, CP11)"
MT,2024Q2,1,"BroadBelowEU (CP02, CP01)"
NL,2024Q2,0,"BroadAboveEU (CP10, CP11)"
NO,2024Q2,0,"BroadAboveEU (CP10, CP11)"
PL,2024Q2,0,"BroadAboveEU (CP10, CP11)"
PT,2024Q2,1,"BroadBelowEU (CP02, CP01)"
RO,2024Q2,2,"BroadAboveEU (CP04, CP11)"
RS,2024Q2,0,"BroadAboveEU (CP10, CP11)"
SE,2024Q2,1,"BroadBelowEU (CP02, CP01)"
SI,2024Q2,1,"BroadBelowEU (CP02, CP01)"
SK,2024Q2,0,"BroadAboveEU (CP10, CP11)"
AT,2024Q3,1,"BroadBelowEU (CP02, CP01)"
BE,2024Q3,0,"BroadAboveEU (CP10, CP11)"
BG,2024Q3,1,"BroadBelowEU (CP02, CP01)"
CH,2024Q3,1,"BroadBelowEU (CP02, CP01)"
CY,2024Q3,1,"BroadBelowEU (CP02, CP01)"
CZ,2024Q3,0,"BroadAboveEU (CP10, CP11)"
DE,2024Q3,1,"BroadBelowEU (CP02, CP01)"
DK,2024Q3,1,"BroadBelowEU (CP02, CP01)"
EA20,2024Q3,1,"BroadBelowEU (CP02, CP01)"
EE,2024Q3,0,"BroadAboveEU (CP10, CP11)"
EL,2024Q3,1,"BroadBelowEU (CP02, CP01)"
ES,2024Q3,1,"BroadBelowEU (CP02, CP01)"
FI,2024Q3,1,"BroadBelowEU (CP02, CP01)"
FR,2024Q3,1,"BroadBelowEU (CP02, CP01)"
HR,2024Q3,0,"BroadAboveEU (CP10, CP11)"
HU,2024Q3,0,"BroadAboveEU (CP10, CP11)"
IE,2024Q3,1,"BroadBelowEU (CP02, CP01)"
IS,2024Q3,1,"BroadBelowEU (CP02, CP01)"
IT,2024Q3,1,"BroadBelowEU (CP02, CP01)"
LT,2024Q3,1,"BroadBelowEU (CP02, CP01)"
LU,2024Q3,1,"BroadBelowEU (CP02, CP01)"
LV,2024Q3,0,"BroadAboveEU (CP10, CP11)"
MT,2024Q3,1,"BroadBelowEU (CP02, CP01)"
NL,2024Q3,0,"BroadAboveEU (CP10, CP11)"
NO,2024Q3,1,"BroadBelowEU (CP02, CP01)"
PL,2024Q3,0,"BroadAboveEU (CP10, CP11)"
PT,2024Q3,1,"BroadBelowEU (CP02, CP01)"
RO,2024Q3,2,"BroadAboveEU (CP04, CP11)"
RS,2024Q3,0,"BroadAboveEU (CP10, CP11)"
SE,2024Q3,1,"BroadBelowEU (CP02, CP01)"
SI,2024Q3,1,"BroadBelowEU (CP02, CP01)"
SK,2024Q3,0,"BroadAboveEU (CP10, CP11)"
AT,2024Q4,1,"BroadBelowEU (CP02, CP01)"
BE,2024Q4,0,"BroadAboveEU (CP10, CP11)"
BG,2024Q4,1,"BroadBelowEU (CP02, CP01)"
CH,2024Q4,1,"BroadBelowEU (CP02, CP01)"
CY,2024Q4,1,"BroadBelowEU (CP02, CP01)"
CZ,2024Q4,0,"BroadAboveEU (CP10, CP11)"
DE,2024Q4,0,"BroadAboveEU (CP10, CP11)"
DK,2024Q4,1,"BroadBelowEU (CP02, CP01)"
EA20,2024Q4,1,"BroadBelowEU (CP02, CP01)"
EE,2024Q4,0,"BroadAboveEU (CP10, CP11)"
EL,2024Q4,1,"BroadBelowEU (CP02, CP01)"
ES,2024Q4,1,"BroadBelowEU (CP02, CP01)"
FI,2024Q4,1,"BroadBelowEU (CP02, CP01)"
FR,2024Q4,1,"BroadBelowEU (CP02, CP01)"
HR,2024Q4,0,"BroadAboveEU (CP10, CP11)"
HU,2024Q4,0,"BroadAboveEU (CP10, CP11)"
IE,2024Q4,1,"BroadBelowEU (CP02, CP01)"
IS,2024Q4,1,"BroadBelowEU (CP02, CP01)"
IT,2024Q4,1,"BroadBelowEU (CP02, CP01)"
LT,2024Q4,1,"BroadBelowEU (CP02, CP01)"
LU,2024Q4,1,"BroadBelowEU (CP02, CP01)"
LV,2024Q4,0,"BroadAboveEU (CP10, CP11)"
MT,2024Q4,1,"BroadBelowEU (CP02, CP01)"
NL,2024Q4,0,"BroadAboveEU (CP10, CP11)"
NO,2024Q4,1,"BroadBelowEU (CP02, CP01)"
PL,2024Q4,0,"BroadAboveEU (CP10, CP11)"
PT,2024Q4,1,"BroadBelowEU (CP02, CP01)"
RO,2024Q4,2,"BroadAboveEU (CP04, CP11)"
RS,2024Q4,0,"BroadAboveEU (CP10, CP11)"
SE,2024Q4,1,"BroadBelowEU (CP02, CP01)"
SI,2024Q4,1,"BroadBelowEU (CP02, CP01)"
SK,2024Q4,0,"BroadAboveEU (CP10, CP11)"
