geo,clusterId,hicpInflation_CP01_vs_eu27,hicpInflation_CP02_vs_eu27,hicpInflation_CP03_vs_eu27,hicpInflation_CP04_vs_eu27,hicpInflation_CP05_vs_eu27,hicpInflation_CP06_vs_eu27,hicpInflation_CP07_vs_eu27,hicpInflation_CP08_vs_eu27,hicpInflation_CP09_vs_eu27,hicpInflation_CP10_vs_eu27,hicpInflation_CP11_vs_eu27,hicpInflation_CP12_vs_eu27
BE,0,-0.4666666666666668,11.008666666666663,2.966666666666667,9.166666666666668,0.19999999999999998,-1.6333333333333329,0.0,4.733333333333333,-0.9666666666666663,-3.466666666666666,-0.5,-1.100000000000001
CZ,0,-1.6,-0.7666666666666666,-1.5666666666666667,2.7000000000000006,0.9333333333333336,0.26666666666666705,0.23333333333333334,3.3000000000000003,0.9333333333333336,6.233333333333336,2.533333333333333,-0.8666666666666671
DE,0,0.3333333333333335,-1.2333333333333334,1.6666666666666665,-1.8666666666666665,-0.7999999999999999,-0.9666666666666668,0.7,0.8666666666666669,0.16666666666666696,0.0333333333333341,1.1000000000000005,2.3666666666666663
EE,0,3.0666666666666673,0.9333333333333336,-1.2,-3.1666666666666665,2.433333333333333,3.1,3.1,10.318666666666642,2.233333333333334,2.1999999999999993,-0.06666666666666643,3.0666666666666655
HR,0,2.7,-0.4666666666666659,-1.0333333333333334,-1.2666666666666664,0.3666666666666667,1.5333333333333337,0.03333333333333337,-3.3000000000000003,2.3000000000000003,0.3333333333333348,6.466666666666668,2.0666666666666655
HU,0,1.5666666666666664,-1.8333333333333335,2.1999999999999997,-1.0666666666666664,1.4333333333333336,1.4000000000000008,1.0666666666666664,6.166666666666667,2.1999999999999997,1.1000000000000005,2.4000000000000004,3.5666666666666655
LV,0,2.6000000000000005,1.8000000000000007,-0.7,-5.2333333333333325,2.1,2.1999999999999997,-2.4000000000000004,7.800000000000001,3.266666666666666,0.8999999999999995,-1.1,-1.7000000000000006
NL,0,0.10000000000000009,11.008666666666663,0.8,0.8333333333333335,-2.0666666666666664,2.3333333333333344,1.0,1.5333333333333334,-0.13333333333333286,7.333333333333334,1.7333333333333334,1.1333333333333337
PL,0,1.8999999999999995,-0.8666666666666663,-2.833333333333333,4.700000000000001,1.4,1.9000000000000008,-1.7666666666666664,5.766666666666667,2.5000000000000004,2.333333333333335,1.7333333333333334,-0.6000000000000001
RS,0,2.0,2.466666666666667,3.466666666666667,1.233333333333333,5.566666666666666,1.9333333333333331,0.5666666666666667,5.5,3.6333333333333333,-0.8999999999999995,4.4333333333333345,-0.7000000000000006
SK,0,1.5333333333333332,-0.9666666666666659,1.0333333333333332,-1.3,1.1666666666666665,1.6333333333333333,1.5666666666666667,6.233333333333333,0.4666666666666668,4.866666666666667,1.1333333333333346,-0.10000000000000053
AT,1,-0.3666666666666667,-2.8666666666666667,-2.466666666666667,-4.766666666666667,0.6666666666666667,0.7666666666666662,0.39999999999999997,-2.433333333333333,0.26666666666666705,-0.7000000000000002,1.166666666666667,-0.10000000000000053
BG,1,0.9333333333333331,0.06666666666666643,-1.4333333333333333,-0.43333333333333357,-0.7999999999999999,-2.133333333333333,-1.7666666666666664,-1.166666666666666,-3.3,1.6333333333333337,3.8666666666666663,-0.433333333333334
CH,1,-3.3000000000000003,-5.366666666666666,-2.4000000000000004,0.26666666666666705,-1.4666666666666666,-4.266666666666667,-1.7,2.566666666666667,-1.4333333333333331,-4.366666666666666,-2.0333333333333337,-4.133333333333334
CY,1,3.0,-4.0,-3.1333333333333333,-4.266666666666667,-0.3,-2.3999999999999995,-1.4,1.6,4.866666666666667,-1.3666666666666658,0.3333333333333339,-2.466666666666667
DK,1,1.666666666666667,-3.8999999999999995,-0.2333333333333334,1.266666666666667,-3.7666666666666666,-1.5666666666666664,-0.2333333333333334,2.9333333333333336,-2.5999999999999996,-1.1666666666666665,-3.5,-2.866666666666667
EL,1,-2.2,-4.566666666666666,5.133333333333333,0.6000000000000005,-0.6333333333333333,-0.033333333333333215,2.0666666666666664,4.166666666666667,-0.033333333333333215,-2.4,2.466666666666667,-2.666666666666667
ES,1,-0.7,-1.5,-1.8666666666666667,3.1333333333333333,0.30000000000000004,-1.8333333333333333,-0.9333333333333333,2.666666666666667,0.30000000000000027,-2.533333333333333,-0.5,-0.9666666666666668
FI,1,-1.9666666666666668,-0.06666666666666643,0.16666666666666674,-1.0333333333333332,0.4999999999999999,-1.0,-1.1666666666666667,5.366666666666667,-1.7999999999999998,0.13333333333333375,-1.9,-0.9666666666666668
FR,1,-2.2,-0.9333333333333336,-1.0333333333333332,0.6333333333333337,-0.4666666666666667,2.0000000000000004,-0.033333333333333354,-9.533333333333333,-0.9999999999999998,-1.1666666666666665,-1.9,-0.5333333333333337
IE,1,-0.5,-1.7666666666666662,-6.080666666666667,-5.199999999999999,-1.0666666666666667,-2.333333333333333,-0.7000000000000001,3.7,0.5333333333333332,-2.733333333333333,-1.0333333333333337,-5.261333333333333
IS,1,1.3666666666666667,-1.5666666666666664,0.8333333333333333,7.4,0.6,1.8333333333333344,1.6666666666666665,2.0333333333333337,2.3333333333333344,-10.666666666666664,-2.5,-0.8333333333333339
IT,1,0.06666666666666687,-3.233333333333333,-0.09999999999999998,-3.833333333333333,0.23333333333333336,-1.333333333333333,-0.6333333333333334,-2.9999999999999996,-0.7999999999999996,-2.1666666666666665,-1.4999999999999996,-1.6666666666666674
LT,1,-2.2333333333333334,-0.16666666666666696,-2.7666666666666666,-6.966666666666667,-2.5333333333333337,3.0333333333333337,-1.5000000000000002,3.566666666666667,1.0,2.2666666666666666,3.966666666666666,-1.7333333333333338
LU,1,-1.5666666666666669,1.9666666666666677,-0.1333333333333333,-4.566666666666666,-0.4666666666666667,-1.6999999999999997,-2.966666666666667,3.2666666666666666,0.3666666666666667,-4.466666666666667,-1.7333333333333334,-2.3000000000000003
MT,1,0.6333333333333333,-4.333333333333333,-1.4333333333333333,-2.0666666666666664,-0.7,-0.8999999999999995,4.233333333333334,-2.1666666666666665,-1.4999999999999998,-0.2666666666666666,-2.0333333333333337,-0.5333333333333337
NO,1,1.5,-1.6333333333333329,-1.0,-2.2,1.1,0.8666666666666667,0.5,4.133333333333333,0.5333333333333332,-0.06666666666666643,-1.9666666666666663,-4.2
PT,1,0.5333333333333332,-2.433333333333333,-2.2666666666666666,3.8333333333333335,-2.0,-0.3333333333333326,0.7333333333333333,8.333333333333334,-0.8666666666666665,-1.6666666666666665,-0.09999999999999964,-2.1666666666666674
SE,1,-0.6333333333333335,-2.2999999999999994,1.5333333333333332,-0.6000000000000001,-1.2,0.6999999999999997,-1.3666666666666667,-1.4333333333333331,0.06666666666666732,-2.933333333333333,-0.7333333333333334,-0.3333333333333339
SI,1,-0.5999999999999999,-1.5333333333333332,1.5333333333333332,-6.333333333333333,-0.6,0.23333333333333384,-1.9,3.8000000000000003,-0.23333333333333295,-2.433333333333333,-0.4666666666666668,-1.333333333333334
RO,2,2.333333333333333,3.833333333333334,5.366666666666667,-1.0333333333333332,6.666666666666667,1.3000000000000003,3.5000000000000004,2.166666666666667,4.5,5.0,5.166666666666665,3.633333333333333
